"state","Management","Year","Diet","Location","biomass.kgha","prod_yr_kgha","prod_yr_F0.2","net.turn","net.turnF"
"Recovering","Protected",2017,"InvMob","Praslin NE Granite",149.564435,54.05950729,54.05950729,36.14462708,36.14462708
"Recovering","Protected",1994,"FisCep","Praslin NE Patch",43.8586735,12.47071985,12.47071985,28.43387373,28.43387373
"Recovering","Protected",2005,"FisCep","Praslin NE Patch",168.0034287,39.81039523,39.81039523,23.69618021,23.69618021
"Recovering","Protected",2008,"FisCep","Praslin NE Patch",2.307036075,1.349378664,1.349378664,58.48970802,58.48970802
"Recovering","Protected",2011,"FisCep","Praslin NE Patch",35.32364231,7.991189877,7.991189877,22.62277997,22.62277997
"Recovering","Protected",2014,"FisCep","Praslin NE Patch",5.138133445,2.89711414,2.89711414,56.38456398,56.38456398
"Recovering","Protected",2017,"FisCep","Praslin NE Patch",12.23940301,7.365525653,7.365525653,60.17879831,60.17879831
"Recovering","Protected",1994,"HerDet","Praslin NE Patch",119.7563577,32.4015001,32.4015001,27.05618367,27.05618367
"Recovering","Protected",2005,"HerDet","Praslin NE Patch",162.6582997,37.11611484,37.11611484,22.81845741,22.81845741
"Recovering","Protected",2008,"HerDet","Praslin NE Patch",208.6935748,30.9082909,30.9082909,14.81037015,14.81037015
"Recovering","Protected",2011,"HerDet","Praslin NE Patch",158.0342957,30.21068654,30.21068654,19.11653823,19.11653823
"Recovering","Protected",2014,"HerDet","Praslin NE Patch",167.4283487,34.35318763,34.35318763,20.51814277,20.51814277
"Recovering","Protected",2017,"HerDet","Praslin NE Patch",95.87807123,20.14224308,20.14224308,21.00818553,21.00818553
"Recovering","Protected",1994,"HerMac","Praslin NE Patch",7.748466973,1.34799121,1.34799121,17.39687625,17.39687625
"Recovering","Protected",2005,"HerMac","Praslin NE Patch",5.596501898,1.396465135,1.396465135,24.95246425,24.95246425
"Recovering","Protected",2008,"HerMac","Praslin NE Patch",0,0,0,NA,NA
"Recovering","Protected",2011,"HerMac","Praslin NE Patch",4.743287068,1.888242187,1.888242187,39.80872675,39.80872675
"Recovering","Protected",2014,"HerMac","Praslin NE Patch",0,0,0,NA,NA
"Recovering","Protected",2017,"HerMac","Praslin NE Patch",0,0,0,NA,NA
"Recovering","Protected",1994,"InvMob","Praslin NE Patch",95.6298847,25.91641799,25.91641799,27.1007521,27.1007521
"Recovering","Protected",2005,"InvMob","Praslin NE Patch",178.7148689,43.56718243,43.56718243,24.37804011,24.37804011
"Recovering","Protected",2008,"InvMob","Praslin NE Patch",135.3149082,41.97817251,41.97817251,31.02257769,31.02257769
"Recovering","Protected",2011,"InvMob","Praslin NE Patch",154.1395852,64.46804199,64.46804199,41.82445534,41.82445534
"Recovering","Protected",2014,"InvMob","Praslin NE Patch",60.40231718,26.4888543,26.4888543,43.85403663,43.85403663
"Recovering","Protected",2017,"InvMob","Praslin NE Patch",86.82222776,34.56273808,34.56273808,39.80862847,39.80862847
"Shifted","Fished",1994,"FisCep","Praslin SW Carbonate",23.87059186,14.13166527,14.13166527,59.20115159,59.20115159
"Shifted","Fished",2005,"FisCep","Praslin SW Carbonate",25.81131179,12.03055255,10.95798374,46.60961306,42.45419152
"Shifted","Fished",2008,"FisCep","Praslin SW Carbonate",43.84648061,14.96885276,12.78909857,34.13923433,29.16790217
"Shifted","Fished",2011,"FisCep","Praslin SW Carbonate",5.592159219,3.950365976,3.487700385,70.64115704,62.36768748
"Shifted","Fished",2014,"FisCep","Praslin SW Carbonate",12.31384208,7.777408352,7.719692408,63.15988383,62.69117598
"Shifted","Fished",2017,"FisCep","Praslin SW Carbonate",49.51623489,22.93660776,19.99875897,46.32138896,40.38828682
"Shifted","Fished",1994,"HerDet","Praslin SW Carbonate",150.0363394,71.15765888,69.68187878,47.42694949,46.44333438
"Shifted","Fished",2005,"HerDet","Praslin SW Carbonate",106.6979927,51.12527134,48.06038186,47.91586989,45.0433796
"Shifted","Fished",2008,"HerDet","Praslin SW Carbonate",36.84058625,28.18043232,27.98950048,76.49289869,75.97463377
"Shifted","Fished",2011,"HerDet","Praslin SW Carbonate",94.13710538,50.089523,47.92022759,53.20911749,50.90471754
"Shifted","Fished",2014,"HerDet","Praslin SW Carbonate",202.2307979,59.75356875,56.60040971,29.54721505,27.9880267
"Shifted","Fished",2017,"HerDet","Praslin SW Carbonate",154.7776495,59.52508821,56.60307444,38.4584521,36.57057373
"Shifted","Fished",1994,"HerMac","Praslin SW Carbonate",1.366867504,1.209100126,1.209100126,88.45774173,88.45774173
"Shifted","Fished",2005,"HerMac","Praslin SW Carbonate",38.23270175,18.38840876,17.93653744,48.0960223,46.91412486
"Shifted","Fished",2008,"HerMac","Praslin SW Carbonate",3.257832622,5.100914661,5.100914661,156.5738714,156.5738714
"Shifted","Fished",2011,"HerMac","Praslin SW Carbonate",1.185499414,1.207227925,1.201381368,101.8328571,101.3396847
"Shifted","Fished",2014,"HerMac","Praslin SW Carbonate",169.7031889,99.59381329,95.01074856,58.68706059,55.98642499
"Shifted","Fished",2017,"HerMac","Praslin SW Carbonate",99.78600283,43.58106396,40.46062317,43.6745262,40.54739344
"Shifted","Fished",1994,"InvMob","Praslin SW Carbonate",46.46392847,22.51684757,22.38541009,48.4609208,48.17804011
"Shifted","Fished",2005,"InvMob","Praslin SW Carbonate",41.85951497,27.35410885,27.12764922,65.34740995,64.80641078
"Shifted","Fished",2008,"InvMob","Praslin SW Carbonate",52.45200552,33.50548402,33.30243038,63.87836592,63.49124319
"Shifted","Fished",2011,"InvMob","Praslin SW Carbonate",52.95398111,30.9865574,30.94064303,58.51601097,58.4293048
"Shifted","Fished",2014,"InvMob","Praslin SW Carbonate",216.1018038,81.95523059,77.68165239,37.92436211,35.94678574
"Shifted","Fished",2017,"InvMob","Praslin SW Carbonate",88.5422457,53.10215659,53.02804823,59.97380818,59.89010987
"Recovering","Fished",1994,"FisCep","Praslin SW Granite",77.67127875,23.7359333,20.15444971,30.5594728,25.94839435
"Recovering","Fished",2005,"FisCep","Praslin SW Granite",1.857945618,1.889467893,1.866165754,101.6966199,100.4424315
"Recovering","Fished",2008,"FisCep","Praslin SW Granite",287.7773761,75.16726062,65.48712502,26.11993397,22.75617559
"Recovering","Fished",2011,"FisCep","Praslin SW Granite",114.2420222,47.81823309,42.9043796,41.8569561,37.5556899
"Recovering","Fished",2014,"FisCep","Praslin SW Granite",200.129772,91.53274774,80.88142192,45.73669715,40.41448761
"Recovering","Fished",2017,"FisCep","Praslin SW Granite",44.21284834,19.54854436,18.22055942,44.21462335,41.21100563
"Recovering","Fished",1994,"HerDet","Praslin SW Granite",176.5403942,46.82142781,43.86669142,26.52165133,24.84796277
"Recovering","Fished",2005,"HerDet","Praslin SW Granite",224.8173491,50.07599075,47.2832725,22.27407758,21.03186106
"Recovering","Fished",2008,"HerDet","Praslin SW Granite",607.8550152,117.6145632,108.0226399,19.34911456,17.77111929
"Recovering","Fished",2011,"HerDet","Praslin SW Granite",341.6832724,89.67382256,85.14584625,26.24472129,24.91952434
"Recovering","Fished",2014,"HerDet","Praslin SW Granite",288.7445369,89.23926985,85.76320896,30.90595957,29.70210618
"Recovering","Fished",2017,"HerDet","Praslin SW Granite",550.1417055,187.6117061,175.582801,34.10243292,31.91592261
"Recovering","Fished",1994,"HerMac","Praslin SW Granite",0,0,0,NA,NA
"Recovering","Fished",2005,"HerMac","Praslin SW Granite",9.536976516,4.066164415,3.844427117,42.63578094,40.31075373
"Recovering","Fished",2008,"HerMac","Praslin SW Granite",26.40365867,5.896783997,5.238630059,22.33320795,19.84054606
