"species","Location","Year","Habitat","count","Family","Length","a","b","lat","lon","Management","MaxSizeTL","sstmean","Diet","Position","Method","Length2","Kmax","Kmax_lowq","Kmax_uppq","L.1day","EstAge","Md","SurvivalDay","prod_day","prod_yr"
"Acanthurus leucosternon","Cousin Carbonate",1994,"Carbonate",1,"Acanthuridae",23,0.1317,2.392,-4.332921,55.658746,"Protected",54,28,"HerDet","BtPlDw","Otolth",23,0.126933962106705,0.112610515207052,0.145949155092239,23.0107788183195,4.37232741236408,0.00120896056548119,0.998791769932932,0.267045271240875,88.0370786170028
"Acanthurus leucosternon","Cousin Carbonate",1994,"Carbonate",3,"Acanthuridae",21,0.1317,2.392,-4.332921,55.658746,"Protected",54,28,"HerDet","BtPlDw","Otolth",21,0.126933962106705,0.112610515207052,0.145949155092239,21.011474225953,3.87978502304846,0.00139965463449783,0.998601324425215,0.250475206915354,76.6199476758351
"Acanthurus leucosternon","Cousin Carbonate",1994,"Carbonate",4,"Acanthuridae",14,0.1317,2.392,-4.332921,55.658746,"Protected",54,28,"HerDet","BtPlDw","Otolth",14,0.126933962106705,0.112610515207052,0.145949155092239,14.0139081526703,2.36425766177582,0.00268861002462522,0.997315001050325,0.172713723182042,49.9927970072804
"Acanthurus leucosternon","Cousin Carbonate",1994,"Carbonate",3,"Acanthuridae",20,0.1317,2.392,-4.332921,55.658746,"Protected",54,28,"HerDet","BtPlDw","Otolth",20,0.126933962106705,0.112610515207052,0.145949155092239,20.0118219297697,3.64460002878676,0.00151403410450806,0.998487111466909,0.241128045782659,73.5402407665814
"Acanthurus tennentii","Cousin Carbonate",1994,"Carbonate",7,"Acanthuridae",27,0.0261,3.024,-4.332921,55.658746,"Protected",31,28,"HerDet","BtPlDw","Otolth",27,0.250658959150314,0.221940364688635,0.290671922266483,27.0027460044983,8.16923859536695,0.000829311163176756,0.999171032620285,0.171020627612165,47.9164835292217
"Acanthurus triostegus","Cousin Carbonate",1994,"Carbonate",1,"Acanthuridae",17,0.1317,2.392,-4.332921,55.658746,"Protected",27,28,"HerDet","BtPlDw","Otolth",17,0.333076745271683,0.292790055274963,0.378377243876457,17.0091212279102,2.98205079493049,0.0019021925208983,0.998099615500712,0.148370417125534,38.7225653005628
"Acanthurus triostegus","Cousin Carbonate",1994,"Carbonate",1,"Acanthuridae",18,0.1317,2.392,-4.332921,55.658746,"Protected",27,28,"HerDet","BtPlDw","Otolth",18,0.333076745271683,0.292790055274963,0.378377243876457,18.0082091051192,3.29837583759262,0.00173495613899204,0.998266548027397,0.144583899547598,38.762238390497
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",4,"Labridae",10,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",10,0.319984495639801,0.273342497646809,0.372848883271217,10.0105154282599,1.89426616548518,0.0031973243615337,0.996807781636709,0.0331584421102704,8.66598179555016
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",3,"Labridae",12,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",12,0.319984495639801,0.273342497646809,0.372848883271217,12.0087628568832,2.4640486370684,0.00238399253186005,0.997618846921476,0.0397773516233606,11.406223527462
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",8,"Labridae",11,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",11,0.319984495639801,0.273342497646809,0.372848883271217,11.0096391425716,2.16618989358848,0.00274248634341303,0.997261270836802,0.0367717956939053,10.7247577297759
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",4,"Labridae",10,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",10,0.319984495639801,0.273342497646809,0.372848883271217,10.0105154282599,1.89426616548518,0.0031973243615337,0.996807781636709,0.0331584421102704,8.78264195408282
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",3,"Labridae",12,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",12,0.319984495639801,0.273342497646809,0.372848883271217,12.0087628568832,2.4640486370684,0.00238399253186005,0.997618846921476,0.0397773516233606,11.006763613358
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",6,"Labridae",10,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",10,0.319984495639801,0.273342497646809,0.372848883271217,10.0105154282599,1.89426616548518,0.0031973243615337,0.996807781636709,0.0331584421102704,9.62182320199288
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",6,"Labridae",10,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",10,0.319984495639801,0.273342497646809,0.372848883271217,10.0105154282599,1.89426616548518,0.0031973243615337,0.996807781636709,0.0331584421102704,10.3345511524187
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",8,"Labridae",10,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",10,0.319984495639801,0.273342497646809,0.372848883271217,10.0105154282599,1.89426616548518,0.0031973243615337,0.996807781636709,0.0331584421102704,8.86093638925413
"Anampses meleagrides","Cousin Carbonate",1994,"Carbonate",4,"Labridae",9,0.0105,3,-4.332921,55.658746,"Protected",22,28,"InvMob","BnthDw","Otolth",9,0.319984495639801,0.273342497646809,0.372848883271217,9.01139171394821,1.6441205841704,0.00378840373864772,0.996218763209508,0.0291027637812498,8.61016664580312
